Summary,,,,
KEZDEMÉNYEZÉS,+1,,,
SEBESESSÉG,30 láb,,,
TERMET,Közepes,,,
JÁRTASSÁG BÓNUSZ,+2,,,
HARCERŐ,8,,,
HARCERŐ KOCKA,1d6,,,
VF,11,,,
,score,mod,saving prof,
ERŐ,8,-1,FALSE,
ÜGYESSÉG,13,1,FALSE,
ÁLLÓKÉPESSÉG,15,2,FALSE,
INTELLIGENCIA,17,3,TRUE,
BÖLCSESSÉG,12,1,TRUE,
KARIZMA,10,0,FALSE,
,,,,
,,,prof multiplier,
Atlétika (ERŐ),-1,○,0,
Előadásmód (KAR),+0,○,0,
Ember ismeret (BÖL),+3,●,1,
Észlelés (BÖL),+3,●,1,
Kézügyesség (ÜGY),+1,○,0,
Lopakodás (ÜGY),+1,○,0,
Mágia ismeret (INT),+5,●,1,
Megfélemlítés (KAR),+0,○,0,
Meggyőzés (KAR),+0,○,0,
Megtévesztés (KAR),+0,○,0,
Orvoslás (BÖL),+3,●,1,
Szelídítés (BÖL),+1,○,0,
Természetismeret (INT),+3,○,0,
Történelem (INT),+5,●,1,
Túlélés (BÖL),+1,○,0,
Vallás (INT),+3,○,0,
Vizsgálódás (INT),+5,●,1,
,,,0,
,,,,
Varázslás képesség,Intelligencia,,,
spell slot level,slot count,,,
1,2,,,
2,—,,,
3,—,,,
4,—,,,
5,—,,,
6,—,,,
7,—,,,
8,—,,,
9,—,,,
,,,,
réz,,,,
ezüst,2,,,
elektrum,,,,
arany,14,,,
platina,,,,
,,,,
KÉPESSÉGEK,KÉPESSÉGEK & EGYÉB,Varázslatok,JÁRTASSÁGOK,Felszerelés
Sötétlátás: 60 láb,,Fény,Fegyver: Egyszerű,Tőr (2)
"Mágikus regeneráció: A varázskönyved tanulmányozásával visszanyerheted a mágikus energiád egy részét.
Amikor végzel egy Rövid Pihenővel visszakapsz egy elhasznált varázs rekeszt.
Napi 1-szer: ⎕",,Máguskéz,Eszköz: Kalligráfus eszközök,Vándorbot
Előny: Elbájolással szemben,,Szemfényvesztés,"Nyelv: Közös, Sárkány, Elf",Köpeny
"Transz: Nincs szükség alvásra, hosszú pihenő 4 óra",,Fagysugár,,Varázskönyv
"Beavatott Rituálé: Minden a varázskönyvedben lévő varázslatot, ami rituáléként is varázsolható elvégezhetsz rituális varázslással, akkor is ha a varázslat nincs előkészítve.",,Tűzlövedék,,Hátizsák
,,Mentális tüske,,Könyv
,,Máguspáncél,,Tinta
,,Tollesés,,Penna
,,Varázslövedék,,Olajos flaska (10)
,,Mennydörgés,,Lámpás
,,Boszorkány sugár,,Pergamen (18)
,,Mágia érzékelése,,Tűzszerszám
,,Familiáris idézése,,Kalligráfus eszközök
,,,,Könyv (Történelmi)
