Summary,,,,
KEZDEMÉNYEZÉS,+5,,,
SEBESESSÉG,30 láb,,,
TERMET,Közepes,,,
JÁRTASSÁG BÓNUSZ,+2,,,
HARCERŐ,9,,,
HARCERŐ KOCKA,1d8,,,
VF,14,,,
,score,mod,saving prof,
ERŐ,10,0,FALSE,
ÜGYESSÉG,17,3,TRUE,
ÁLLÓKÉPESSÉG,12,1,FALSE,
INTELLIGENCIA,14,2,TRUE,
BÖLCSESSÉG,8,-1,FALSE,
KARIZMA,14,2,FALSE,
,,,,
,,,prof multiplier,
Atlétika (ERŐ),+2,●,1,
Előadásmód (KAR),+4,●,1,
Ember ismeret (BÖL),-1,○,0,
Észlelés (BÖL),+1,●,1,
Kézügyesség (ÜGY),+7,◙,2,
Lopakodás (ÜGY),+7,◙,2,
Mágia ismeret (INT),+2,○,0,
Megfélemlítés (KAR),+2,○,0,
Meggyőzés (KAR),+4,●,1,
Megtévesztés (KAR),+2,○,0,
Orvoslás (BÖL),-1,○,0,
Szelídítés (BÖL),-1,○,0,
Természetismeret (INT),+2,○,0,
Történelem (INT),+2,○,0,
Túlélés (BÖL),-1,○,0,
Vallás (INT),+2,○,0,
Vizsgálódás (INT),+4,●,1,
,,,0,
,,,,
Varázslás képesség,,,,
spell slot level,slot count,,,
1,—,,,
2,—,,,
3,—,,,
4,—,,,
5,—,,,
6,—,,,
7,—,,,
8,—,,,
9,—,,,
,,,,
réz,,,,
ezüst,,,,
elektrum,,,,
arany,25,,,
platina,,,,
,,,,
KÉPESSÉGEK,KÉPESSÉGEK & EGYÉB,KÉPESSÉGEK,JÁRTASSÁGOK,Felszerelés
Találékony: Hosszú pihenés végén Hősies Inspirációt kapsz.,,,"Fegyver: Egyszerű, katonai",Bőrvért
"Kezdeményezés csere: Kezdeményezés dobás után cserélhetsz egy társaddal, ha ő is szeretné.",,,Páncél: Könnyű,Tőr (2)
"Fegyvermester:
- Karcolás: Amikor könnyű fegyverrel extra támadást csinálsz nem kell bónusz akciót használnod hozzá.
- Megzavarás: Találatkor és sebzéskor: Előny a következő támadásodra, max a következő köröd végéig.
- Hosszú pihenő végén egy fegyvernemet lecserélhetsz másra.",,,"Eszköz: Tolvaj szerszám,",Vívótőr
Kedvezmény: Minden nem varázstárgyat 20% kedvezménnyel vehetsz meg.,,,"Ékszerész eszközök, Ács",Rövidíj
"Házi barkács: Hosszú Pihenés után összedobhatsz egy eszközt a Crafter táblázatból (kérd a JM segítségét), ha van nálad a szükséges készlet és jártas vagy benne.",,,"szerszámok, Bőrműves",Nyíl (20)
"Lesből támadás: Tudod hogy kell kihasználni, ha az ellenséget megzavarják és lesből lecsapni. Körönként egyszer extra 1d6 sebzést okozhatsz egy eltalált lénynek:
- Ha támadásod Előnnyel dobtad vagy,
- Ha egy társad 5 lábnál közelebb van a célponthoz feltéve, hogy a társad nem Cselekvőképtelen és nem dobsz Hátránnyal",,,"készlet, Kovácsszerszámok",Tegez
Profi kezdeményező: A kezdeményezésedhez hozzáadódik a Jártasság Bónuszod is.,,,"Nyelv: Közös, Tolvajnyelv,",Tolvaj szerszám
,,,"Goblin, Ork",Hátizsák
,,,,Csapágygolyók
,,,,Csengő
,,,,Gyertya (10)
,,,,Feszítővas
,,,,Lámpás
,,,,Olajos flaska (7)
,,,,Fejadag (5)
,,,,Kötél
,,,,Tűzszerszám
,,,,Vizestömlő
,,,,Ékszerész eszközök
