Summary,,,,
KEZDEMÉNYEZÉS,+1,,,
SEBESESSÉG,35 láb,,,
TERMET,Közepes,,,
JÁRTASSÁG BÓNUSZ,+2,,,
HARCERŐ,12,,,
HARCERŐ KOCKA,1d10,,,
VF,19,,,
,score,mod,saving prof,
ERŐ,17,3,TRUE,
ÜGYESSÉG,13,1,FALSE,
ÁLLÓKÉPESSÉG,15,2,TRUE,
INTELLIGENCIA,8,-1,FALSE,
BÖLCSESSÉG,10,0,FALSE,
KARIZMA,12,1,FALSE,
,,,,
,,,prof multiplier,
Atlétika (ERŐ),+5,●,1,
Előadásmód (KAR),+1,○,0,
Ember ismeret (BÖL),+2,●,1,
Észlelés (BÖL),+0,○,0,
Kézügyesség (ÜGY),+1,○,0,
Lopakodás (ÜGY),+1,○,0,
Mágia ismeret (INT),-1,○,0,
Megfélemlítés (KAR),+3,●,1,
Meggyőzés (KAR),+1,○,0,
Megtévesztés (KAR),+1,○,0,
Orvoslás (BÖL),+0,○,0,
Szelídítés (BÖL),+2,●,1,
Természetismeret (INT),-1,○,0,
Történelem (INT),-1,○,0,
Túlélés (BÖL),+0,○,0,
Vallás (INT),-1,○,0,
Vizsgálódás (INT),-1,○,0,
,,,0,
,,,,
Varázslás képesség,,,,
spell slot level,slot count,,,
1,—,,,
2,—,,,
3,—,,,
4,—,,,
5,—,,,
6,—,,,
7,—,,,
8,—,,,
9,—,,,
,,,,
réz,,,,
ezüst,,,,
elektrum,,,,
arany,55,,,
platina,,,,
,,,,
KÉPESSÉGEK,KÉPESSÉGEK & EGYÉB,KÉPESSÉGEK,JÁRTASSÁGOK,Felszerelés
"Erős csontozat
- Előnnyel tudsz Megragadott állapotból szabadulni
- Terhelhetőséged nagy termetnek megfelelő",,,"Fegyver: Egyszerű, katonai",Sodronypáncél
Kegyetlen támadó: A kiképzésednek köszönhetően különösen pusztító csapásokra vagy képes. Körönként egyszer találat esetén a sebzést újra dobhatod és használható a magasabb értéket.,,,"Páncél: Könnyű, közepes,",Pajzs
"Fegyvermester:
- Elcsigázás Találatkor a célpont következő támadására Hátrány, a következő köröd elejéig.
- Lassítás Találatkor a célpontnak -10 láb Sebesség a következő köröd elejéig.
- Gáncsolás Találat esetén megpróbálhatod elgáncsolni a célpontot. NF 13 ÁLL mentést kell dobnia.
- Hosszú pihenő végén egy fegyvernemet lecserélhetsz másra.",,,"nehéz, pajzs",Csatabárd
"Vihar óriás ősök Ha valaki 60 lábon belül sebzést okoz, reakció használatával 1d8 Mennydörgés sebzést okozol neki.
Napi 2-szer: ⎕ ⎕",,,Eszköz: Kocka-játék,Láncos buzogány
Defenzív harcmodor: Páncélzat viselésekor +1 VF-et kapsz.,,,"Nyelv: Közös, Óriás, Manó",Gerely (8)
"Második menet: Képes vagy felhasználni a tested és az elméd rejtett tartalékait. Bónusz akcióként 1d10+1-et gyógyulsz.
Napi kétszer használhatod, Rövid Pihenővel egy elhasználtat visszanyerhetsz. ⎕ ⎕",,,,Hátizsák
,,,,Vassúlyom (caltrop)
,,,,Feszítővas
,,,,Olajos Flaska (2)
,,,,Fejadag (10)
,,,,Kötél
,,,,Tűzszerszám
,,,,Fáklya (10)
,,,,Vizestömlő
,,,,Lándzsa
,,,,Könnyű számszeríj
,,,,Számszeríj lövedék (20)
,,,,Kártya pakli
,,,,Lámpás
